Virginia Department Of Education ,,,,,,,,,,,,,,,,,,,,
Public School Listing,,,,,,,,,,,,,,,,,,,,
Division  Num ,Division Name ,NCES School Num ,School  Num ,School Name ,Low  Grades ,High  Grades ,Division  Description ,School Description ,Grade  Standard ,Schedule ,Principal ,Address1 ,Address2 ,City ,State ,Zip ,Phone  Number ,Fall  Membership  Schools,,
29,Fairfax County Public Schools,5.10126E+11,1510,Columbia Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Michael  Astudillo ,6720 Alpine Dr,,Annandale,VA,22003,703-916-2500,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2234,Colvin Run Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kenneth  Junge ,1400 Trap Rd.,,Vienna,VA,22182,703-757-3000,Membership,,
29,Fairfax County Public Schools,5.10126E+11,191,Community Based Education,,,Local Education Agency,Public center - Career and Technical Ed.,,,   ,7423 Camp Alger Ave,,Falls Church,VA,22042,703-208-7823,Non-Membership,,
29,Fairfax County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,1190,Cooper Middle,7,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Lisa  Barrow ,977 Balls Hill Rd,,McLean,VA,22101,703-442-5800,Membership,,
29,Fairfax County Public Schools,5.10126E+11,870,Crestwood Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Marquerite  Saitta ,6010 Hanover Ave,,Springfield,VA,22150,703-923-5400,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2020,Crossfield Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mark  Granieri ,2791 Fox Mill Rd,,Herndon,VA,20171,703-295-1100,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1600,Cub Run Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Natalie  Lorenzi ,5301 Sully Station Dr,,Centreville,VA,20120,703-633-7500,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1700,Cunningham Park Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Katharine  Le ,1001 Park St SE,,Vienna,VA,22180,703-255-5600,Membership,,
29,Fairfax County Public Schools,,9996,DJJ or Fairfax/Falls Church Community SVCS BD Schools,,,Local Education Agency,LEA facility serving only 905 or 902 students,,,   ,8115 Gatehouse Rd,,Falls Church,VA,22042,571-423-1010,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,2229,Daniels Run Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Christopher  Smith ,3705 Old Lee Hwy,,Fairfax,VA,22030,703-279-8400,Membership,,
29,Fairfax County Public Schools,5.10126E+11,450,Davis Career Center,,,Local Education Agency,Public center - Special Education,,,Charles  Clayton ,7731 Leesburg Pike,,Falls Church,VA,22043,703-714-5600,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,2204,Deer Park Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Robert  Damato ,15109 Carlbern Dr,,Centreville,VA,20120,703-802-5000,Membership,,
29,Fairfax County Public Schools,5.10126E+11,220,Dogwood Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kate  Beckner ,12300 Glade Dr,,Reston,VA,20191,703-262-3100,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2010,Dranesville Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jamie  Gadley ,1515 Powells Tavern Pl,,Herndon,VA,20170,703-326-5200,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2238,Dunn Loring Early Childhood Resource Center,PK,PK,Local Education Agency,Public school - Preschool,Elementary,,   ,2334 Gallows Rd,,Dunn Loring,VA,22027,703-876-5291,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2243,Eagle View Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kanchana  Iyer ,4500 Dixie Hill Road,,Fairfax,VA,22030,703-322-3100,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1270,Edison High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Pamela  Brumfield ,5801 Franconia Rd,,Alexandria,VA,22310,703-924-8000,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2447,Edison High School Academy,,,Local Education Agency,Public center - Career and Technical Ed.,,,   ,5801 Franconia Rd,,Alexandria,VA,22310,703-924-8000,Non-Membership,,
29,Fairfax County Public Schools,,2457,FCPS Online Campus,,,Local Education Agency,Public center - Virtual,,,   ,4414 Holborn Ave,,Annandale,VA,22003,703-503-7781,Non-Membership,,
29,Fairfax County Public Schools,,2460,FCPS Virtual Program Elementary,,,Local Education Agency,Public center - Virtual,,,   ,8115 Gatehouse Road,,Falls Church,VA,22042,703-329-7721,Non-Membership,,
29,Fairfax County Public Schools,,2462,FCPS Virtual Program High,,,Local Education Agency,Public center - Virtual,,,   ,8115 Gatehouse Road,,Falls Church,VA,22042,703-329-7721,Non-Membership,,
29,Fairfax County Public Schools,,2461,FCPS Virtual Program Middle,,,Local Education Agency,Public center - Virtual,,,   ,8115 Gatehouse Road,,Falls Church,VA,22042,703-329-7721,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,190,Fairfax County Adult High,9,12,Local Education Agency,Public school - Alternative,High,4X4,   ,6815 Edsall Rd,Suite 211,Springfield,VA,22151,703-658-2740,Membership,,
29,Fairfax County Public Schools,5.10126E+11,20,Fairfax High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Maureen  Keck ,3501 Lion Run,,Fairfax,VA,22030,703-219-2200,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2449,Fairfax High School Academy,,,Local Education Agency,Public center - Career and Technical Ed.,,,   ,3501 Lion Run,,Fairfax,VA,22030,703-219-2200,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,1480,Fairfax Villa Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dave  Gerstner ,10900 Santa Clara Dr,,Fairfax,VA,22030,703-267-2800,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1630,Fairhill Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Edward G Cooper ,3001 Chichester Ln,,Fairfax,VA,22031,703-208-8100,Membership,,
29,Fairfax County Public Schools,5.10126E+11,290,Fairview Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,   ,5815 Ox Rd,,Fairfax Station,VA,22039,703-503-3700,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2452,Falls Church Governor's Health Sciences Academy,,,Local Education Agency,Public center - Governor's Health Academy,,,Bill  McGreevy ,Falls Church HS Academy,7521 Jaguar Trail,Falls Church,VA,22042,703-329-7727,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,1100,Falls Church High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Benjamin  Nowak ,7521 Jaguar Trail,,Falls Church,VA,22042,703-207-4000,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2451,Falls Church High School Academy,,,Local Education Agency,Public center - Career and Technical Ed.,,,   ,7521 Jaguar Trail,,Falls Church,VA,22042,703-207-4000,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,730,Flint Hill Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jennifer  Hertzberg ,2444 Flint Hill Rd,,Vienna,VA,22181,703-242-6100,Membership,,
29,Fairfax County Public Schools,5.10126E+11,740,Floris Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Holly  Walker ,2708 Centreville Rd,,Herndon,VA,20171,703-561-2900,Membership,,
29,Fairfax County Public Schools,5.10126E+11,70,Forest Edge Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jillian  Zuber ,1501 Beacontree Ln,,Reston,VA,20190,703-925-8000,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1450,Forestdale Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jennifer  Cunneen ,6530 Elder Ave,,Springfield,VA,22150,703-313-4300,Membership,,
29,Fairfax County Public Schools,5.10126E+11,370,Forestville Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Donald  Washington ,1085 Utterback Store Rd,,Great Falls,VA,22066,703-404-6000,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2224,Fort Belvoir Elementary,PK,2,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Margo  Pareja ,5980 Meeres Rd,,Fort Belvoir,VA,22060,703-781-2700,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2458,Fort Belvoir Upper Elementary,3,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jamey  Chianetta ,5970 Meeres Road,,Fort Belvoir,VA,22060,571-982-1300,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1920,Fort Hunt Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Timothy  Slayter ,8832 Linton Ln,,Alexandria,VA,22308,703-619-2600,Membership,,
29,Fairfax County Public Schools,5.10126E+11,390,Fox Mill Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Brian  Moose ,2611 Viking Dr,,Herndon,VA,20171,703-262-2700,Membership,,
29,Fairfax County Public Schools,5.10126E+11,320,Franconia Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Andrew  Smith ,6301 Beulah St,,Alexandria,VA,22310,703-822-2200,Membership,,
29,Fairfax County Public Schools,5.10126E+11,440,Franklin Middle,7,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Dustin  Wright ,3300 Lees Corner Rd,,Chantilly,VA,20151,703-904-5100,Membership,,
29,Fairfax County Public Schools,5.10126E+11,490,Freedom Hill Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Nicholas  Zapadka ,1945 Lord Fairfax Rd,,Vienna,VA,22182,703-506-7800,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1410,Frost Middle,7,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Anthony  Harris ,4101 Pickett Rd,,Fairfax,VA,22032,703-426-5700,Membership,,
29,Fairfax County Public Schools,5.10126E+11,630,Garfield Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,April  Cage ,7101 Old Keene Mill Rd,,Springfield,VA,22150,703-923-2900,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1170,Glasgow Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Victor  Powell ,4101 Fairfax Pkwy,,Alexandria,VA,22312,703-813-8700,Membership,,
29,Fairfax County Public Schools,5.10126E+11,970,Glen Forest Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Diane L Herndon-Wilson ,5829 Glen Forest Dr,,Falls Church,VA,22041,703-578-8000,Membership,,
29,Fairfax County Public Schools,5.10126E+11,530,Graham Road Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Lauren  Badini ,2831 Graham Rd,,Falls Church,VA,22042,571-226-2700,Membership,,
29,Fairfax County Public Schools,5.10126E+11,570,Great Falls Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Sara  Harper ,701 Walker Rd,,Great Falls,VA,22066,703-757-2100,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1840,Greenbriar East Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,David  Pietzman ,13006 Point Pleasant Dr,,Fairfax,VA,22033,703-633-6400,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1500,Greenbriar West Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Andrew  Blount ,13300 Poplar Tree Rd,,Fairfax,VA,22033,703-633-6700,Membership,,
29,Fairfax County Public Schools,5.10126E+11,330,Groveton Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,James  Swoger ,6900 Harrison Ln,,Alexandria,VA,22306,703-718-8000,Membership,,
29,Fairfax County Public Schools,5.10126E+11,690,Gunston Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kristen  Rucinski ,10100 Gunston Rd,,Lorton,VA,22079,703-541-3600,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2210,Halley Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kerry  Peerman ,8850 Cross Chase Circle,,Fairfax Station,VA,22039,703-551-5700,Membership,,
29,Fairfax County Public Schools,5.10126E+11,750,Haycock Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Elizabeth  Beaty ,6616 Haycock Rd,,Falls Church,VA,22043,703-531-4000,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1740,Hayfield Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Jessica R. Lewis ,7633 Telegraph Rd,,Alexandria,VA,22315,703-924-4500,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1800,Hayfield Secondary,7,12,Local Education Agency,Public school - Regular,Combined,8 A/B,Martin  Grimm ,13618 McLearen Rd,,Herndon,VA,20171,703-924-7400,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1250,Herndon Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Candace  Hunstad ,630 Dranesville Rd,,Herndon,VA,20170,703-326-3100,Membership,,
29,Fairfax County Public Schools,5.10126E+11,32,Herndon High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Elizabeth  Noto ,700 Bennett St,,Herndon,VA,20170,703-810-2200,Membership,,
29,Fairfax County Public Schools,5.10126E+11,33,Herndon Middle,7,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Justine  Klena ,901 Locust St,,Herndon,VA,20170,703-904-4800,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1330,Hollin Meadows Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jon  Gates ,2310 Nordok Place,,Alexandria,VA,22306,703-718-8300,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1521,Holmes Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Margaret  Barnes ,6525 Montrose St,,Alexandria,VA,22312,703-658-5900,Membership,,
29,Fairfax County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
29,Fairfax County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
29,Fairfax County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,350,Hughes Middle,7,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Aimee  Monticchio ,11401 Ridge Heights Rd,,Reston,VA,20191,703-715-3600,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1880,Hunt Valley Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,David  Fee ,7107 Sydenstricker Rd,,Springfield,VA,22152,703-913-8800,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1950,Hunters Woods Elementary School for the Arts and Sciences,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Emily  Cope ,2401 Colts Neck Rd,,Reston,VA,20191,703-262-7400,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1980,Hutchison Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Sarah  Aiello ,13209 Parcher Ave,,Herndon,VA,20170,703-925-8300,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1420,Hybla Valley Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Lauren  Sheehy ,3415 Lockheed Blvd,,Alexandria,VA,22306,703-718-7000,Membership,,
29,Fairfax County Public Schools,5.10126E+11,1015,Interagency Alternative Secondary Center,,,Local Education Agency,Public center - Alternative,,,   ,Willow Oaks Administrative Center,8270 Willow Oaks Corporate Dr,Fairfax,VA,22031,571-423-3360,Non-Membership,,
29,Fairfax County Public Schools,5.10126E+11,1120,Irving Middle,7,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Cindy  Conley ,8100 Old Keene Mill Rd,,Springfield,VA,22152,703-912-4500,Membership,,
29,Fairfax County Public Schools,5.10126E+11,2235,Island Creek Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Michael  Macrina ,7855 Morning View Ln,,Alexandria,VA,22315,571-642-6300,Membership,,
29,Fairfax County Public Schools,5.10126E+11,673,Jackson Middle,7,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Michael  Magliola ,3020 Gallows Rd,,Falls Church,VA,22042,703-204-8100,Membership,,
